base_p1,model_type,p1,p2,p3,p4,vortex_winding,trivial_winding,holonomy_phase_total,phase_closure_ok,encircles_defect,pop_threshold_steps,ceab_loop_length,ceab_phase_closure_ok,gap_law_ok,canonical_vortex_winding,topological_contrast_vs_canonical,defect_core_valid,tag
268811,ceab_shift,268817,268819,268811,268813,0,0,0,0,0,4,2,1,0,1,1,1,[B]
268811,channel_shuffle,268817,268813,268811,268819,0,0,0,0,0,4,2,1,0,1,1,1,[B]
276041,canonical,276041,276043,276047,276049,1,0,0,1,1,4,2,1,1,1,0,1,[B]
276041,ceab_shift,276047,276049,276041,276043,0,0,0,0,0,4,2,1,0,1,1,1,[B]
276041,channel_shuffle,276047,276043,276041,276049,0,0,0,0,0,4,2,1,0,1,1,1,[B]
284741,canonical,284741,284743,284747,284749,1,0,0,1,1,4,2,1,1,1,0,1,[B]
284741,ceab_shift,284747,284749,284741,284743,0,0,0,0,0,4,2,1,0,1,1,1,[B]
284741,channel_shuffle,284747,284743,284741,284749,0,0,0,0,0,4,2,1,0,1,1,1,[B]
285281,canonical,285281,285283,285287,285289,1,0,0,1,1,4,2,1,1,1,0,1,[B]
285281,ceab_shift,285287,285289,285281,285283,0,0,0,0,0,4,2,1,0,1,1,1,[B]
285281,channel_shuffle,285287,285283,285281,285289,0,0,0,0,0,4,2,1,0,1,1,1,[B]
294311,canonical,294311,294313,294317,294319,1,0,0,1,1,4,2,1,1,1,0,1,[B]
294311,ceab_shift,294317,294319,294311,294313,0,0,0,0,0,4,2,1,0,1,1,1,[B]
294311,channel_shuffle,294317,294313,294311,294319,0,0,0,0,0,4,2,1,0,1,1,1,[B]
295871,canonical,295871,295873,295877,295879,1,0,0,1,1,4,2,1,1,1,0,1,[B]
295871,ceab_shift,295877,295879,295871,295873,0,0,0,0,0,4,2,1,0,1,1,1,[B]
295871,channel_shuffle,295877,295873,295871,295879,0,0,0,0,0,4,2,1,0,1,1,1,[B]
299471,canonical,299471,299473,299477,299479,1,0,0,1,1,4,2,1,1,1,0,1,[B]
299471,ceab_shift,299477,299479,299471,299473,0,0,0,0,0,4,2,1,0,1,1,1,[B]
299471,channel_shuffle,299477,299473,299471,299479,0,0,0,0,0,4,2,1,0,1,1,1,[B]
300491,canonical,300491,300493,300497,300499,1,0,0,1,1,4,2,1,1,1,0,1,[B]
300491,ceab_shift,300497,300499,300491,300493,0,0,0,0,0,4,2,1,0,1,1,1,[B]
300491,channel_shuffle,300497,300493,300491,300499,0,0,0,0,0,4,2,1,0,1,1,1,[B]
301991,canonical,301991,301993,301997,301999,1,0,0,1,1,4,2,1,1,1,0,1,[B]
301991,ceab_shift,301997,301999,301991,301993,0,0,0,0,0,4,2,1,0,1,1,1,[B]
301991,channel_shuffle,301997,301993,301991,301999,0,0,0,0,0,4,2,1,0,1,1,1,[B]
326141,canonical,326141,326143,326147,326149,1,0,0,1,1,4,2,1,1,1,0,1,[B]
326141,ceab_shift,326147,326149,326141,326143,0,0,0,0,0,4,2,1,0,1,1,1,[B]
326141,channel_shuffle,326147,326143,326141,326149,0,0,0,0,0,4,2,1,0,1,1,1,[B]
334421,canonical,334421,334423,334427,334429,1,0,0,1,1,4,2,1,1,1,0,1,[B]
334421,ceab_shift,334427,334429,334421,334423,0,0,0,0,0,4,2,1,0,1,1,1,[B]
334421,channel_shuffle,334427,334423,334421,334429,0,0,0,0,0,4,2,1,0,1,1,1,[B]
340931,canonical,340931,340933,340937,340939,1,0,0,1,1,4,2,1,1,1,0,1,[B]
340931,ceab_shift,340937,340939,340931,340933,0,0,0,0,0,4,2,1,0,1,1,1,[B]
340931,channel_shuffle,340937,340933,340931,340939,0,0,0,0,0,4,2,1,0,1,1,1,[B]
346391,canonical,346391,346393,346397,346399,1,0,0,1,1,4,2,1,1,1,0,1,[B]
346391,ceab_shift,346397,346399,346391,346393,0,0,0,0,0,4,2,1,0,1,1,1,[B]
346391,channel_shuffle,346397,346393,346391,346399,0,0,0,0,0,4,2,1,0,1,1,1,[B]
347981,canonical,347981,347983,347987,347989,1,0,0,1,1,4,2,1,1,1,0,1,[B]
347981,ceab_shift,347987,347989,347981,347983,0,0,0,0,0,4,2,1,0,1,1,1,[B]
347981,channel_shuffle,347987,347983,347981,347989,0,0,0,0,0,4,2,1,0,1,1,1,[B]
354251,canonical,354251,354253,354257,354259,1,0,0,1,1,4,2,1,1,1,0,1,[B]
354251,ceab_shift,354257,354259,354251,354253,0,0,0,0,0,4,2,1,0,1,1,1,[B]
354251,channel_shuffle,354257,354253,354251,354259,0,0,0,0,0,4,2,1,0,1,1,1,[B]
358901,canonical,358901,358903,358907,358909,1,0,0,1,1,4,2,1,1,1,0,1,[B]
358901,ceab_shift,358907,358909,358901,358903,0,0,0,0,0,4,2,1,0,1,1,1,[B]
358901,channel_shuffle,358907,358903,358901,358909,0,0,0,0,0,4,2,1,0,1,1,1,[B]
361211,canonical,361211,361213,361217,361219,1,0,0,1,1,4,2,1,1,1,0,1,[B]
361211,ceab_shift,361217,361219,361211,361213,0,0,0,0,0,4,2,1,0,1,1,1,[B]
361211,channel_shuffle,361217,361213,361211,361219,0,0,0,0,0,4,2,1,0,1,1,1,[B]
375251,canonical,375251,375253,375257,375259,1,0,0,1,1,4,2,1,1,1,0,1,[B]
375251,ceab_shift,375257,375259,375251,375253,0,0,0,0,0,4,2,1,0,1,1,1,[B]
375251,channel_shuffle,375257,375253,375251,375259,0,0,0,0,0,4,2,1,0,1,1,1,[B]
388691,canonical,388691,388693,388697,388699,1,0,0,1,1,4,2,1,1,1,0,1,[B]
388691,ceab_shift,388697,388699,388691,388693,0,0,0,0,0,4,2,1,0,1,1,1,[B]
388691,channel_shuffle,388697,388693,388691,388699,0,0,0,0,0,4,2,1,0,1,1,1,[B]
389561,canonical,389561,389563,389567,389569,1,0,0,1,1,4,2,1,1,1,0,1,[B]
389561,ceab_shift,389567,389569,389561,389563,0,0,0,0,0,4,2,1,0,1,1,1,[B]
389561,channel_shuffle,389567,389563,389561,389569,0,0,0,0,0,4,2,1,0,1,1,1,[B]
392261,canonical,392261,392263,392267,392269,1,0,0,1,1,4,2,1,1,1,0,1,[B]
392261,ceab_shift,392267,392269,392261,392263,0,0,0,0,0,4,2,1,0,1,1,1,[B]
392261,channel_shuffle,392267,392263,392261,392269,0,0,0,0,0,4,2,1,0,1,1,1,[B]
394811,canonical,394811,394813,394817,394819,1,0,0,1,1,4,2,1,1,1,0,1,[B]
394811,ceab_shift,394817,394819,394811,394813,0,0,0,0,0,4,2,1,0,1,1,1,[B]
394811,channel_shuffle,394817,394813,394811,394819,0,0,0,0,0,4,2,1,0,1,1,1,[B]
397541,canonical,397541,397543,397547,397549,1,0,0,1,1,4,2,1,1,1,0,1,[B]
397541,ceab_shift,397547,397549,397541,397543,0,0,0,0,0,4,2,1,0,1,1,1,[B]
397541,channel_shuffle,397547,397543,397541,397549,0,0,0,0,0,4,2,1,0,1,1,1,[B]
397751,canonical,397751,397753,397757,397759,1,0,0,1,1,4,2,1,1,1,0,1,[B]
397751,ceab_shift,397757,397759,397751,397753,0,0,0,0,0,4,2,1,0,1,1,1,[B]
397751,channel_shuffle,397757,397753,397751,397759,0,0,0,0,0,4,2,1,0,1,1,1,[B]
402131,canonical,402131,402133,402137,402139,1,0,0,1,1,4,2,1,1,1,0,1,[B]
402131,ceab_shift,402137,402139,402131,402133,0,0,0,0,0,4,2,1,0,1,1,1,[B]
402131,channel_shuffle,402137,402133,402131,402139,0,0,0,0,0,4,2,1,0,1,1,1,[B]
402761,canonical,402761,402763,402767,402769,1,0,0,1,1,4,2,1,1,1,0,1,[B]
402761,ceab_shift,402767,402769,402761,402763,0,0,0,0,0,4,2,1,0,1,1,1,[B]
402761,channel_shuffle,402767,402763,402761,402769,0,0,0,0,0,4,2,1,0,1,1,1,[B]
412031,canonical,412031,412033,412037,412039,1,0,0,1,1,4,2,1,1,1,0,1,[B]
412031,ceab_shift,412037,412039,412031,412033,0,0,0,0,0,4,2,1,0,1,1,1,[B]
412031,channel_shuffle,412037,412033,412031,412039,0,0,0,0,0,4,2,1,0,1,1,1,[B]
419051,canonical,419051,419053,419057,419059,1,0,0,1,1,4,2,1,1,1,0,1,[B]
419051,ceab_shift,419057,419059,419051,419053,0,0,0,0,0,4,2,1,0,1,1,1,[B]
419051,channel_shuffle,419057,419053,419051,419059,0,0,0,0,0,4,2,1,0,1,1,1,[B]
420851,canonical,420851,420853,420857,420859,1,0,0,1,1,4,2,1,1,1,0,1,[B]
