gap_type,count_index_from,count_index_to,p_from,p_to,anchor_delta,missing_indices,host,gap_d1,gap_d2,verify_ok
anchor_enumeration,242,243,1571741,1573541,1800,,,,,True
anchor_enumeration,243,244,1573541,1573931,390,,,,,True
anchor_enumeration,244,245,1573931,1577291,3360,,,,,True
anchor_enumeration,245,246,1577291,1584431,7140,,,,,True
anchor_enumeration,246,247,1584431,1588751,4320,,,,,True
anchor_enumeration,247,248,1588751,1592861,4110,,,,,True
anchor_enumeration,248,249,1592861,1603331,10470,,,,,True
anchor_enumeration,249,250,1603331,1615841,12510,,,,,True
anchor_enumeration,250,251,1615841,1616801,960,,,,,True
anchor_enumeration,251,252,1616801,1621721,4920,,,,,True
anchor_enumeration,252,253,1621721,1627601,5880,,,,,True
anchor_enumeration,253,254,1627601,1631051,3450,,,,,True
anchor_enumeration,254,255,1631051,1653101,22050,,,,,True
anchor_enumeration,255,256,1653101,1659101,6000,,,,,True
anchor_enumeration,256,257,1659101,1670561,11460,,,,,True
anchor_enumeration,257,258,1670561,1678751,8190,,,,,True
anchor_enumeration,258,259,1678751,1681871,3120,,,,,True
anchor_enumeration,259,260,1681871,1685441,3570,,,,,True
anchor_enumeration,260,261,1685441,1691861,6420,,,,,True
anchor_enumeration,261,262,1691861,1711811,19950,,,,,True
anchor_enumeration,262,263,1711811,1718861,7050,,,,,True
anchor_enumeration,263,264,1718861,1727771,8910,,,,,True
anchor_enumeration,264,265,1727771,1747721,19950,,,,,True
anchor_enumeration,265,266,1747721,1748471,750,,,,,True
anchor_enumeration,266,267,1748471,1749491,1020,,,,,True
anchor_enumeration,267,268,1749491,1755821,6330,,,,,True
anchor_enumeration,268,269,1755821,1764221,8400,,,,,True
anchor_enumeration,269,270,1764221,1780481,16260,,,,,True
anchor_enumeration,270,271,1780481,1791731,11250,,,,,True
anchor_enumeration,271,272,1791731,1797371,5640,,,,,True
anchor_enumeration,272,273,1797371,1798631,1260,,,,,True
anchor_enumeration,273,274,1798631,1802651,4020,,,,,True
anchor_enumeration,274,275,1802651,1819841,17190,,,,,True
anchor_enumeration,275,276,1819841,1830341,10500,,,,,True
anchor_enumeration,276,277,1830341,1833521,3180,,,,,True
anchor_enumeration,277,278,1833521,1834031,510,,,,,True
anchor_enumeration,278,279,1834031,1837391,3360,,,,,True
anchor_enumeration,279,280,1837391,1857671,20280,,,,,True
anchor_enumeration,280,281,1857671,1890521,32850,,,,,True
anchor_enumeration,281,282,1890521,1902611,12090,,,,,True
anchor_enumeration,282,283,1902611,1904471,1860,,,,,True
anchor_enumeration,283,284,1904471,1910261,5790,,,,,True
anchor_enumeration,284,285,1910261,1912061,1800,,,,,True
anchor_enumeration,285,286,1912061,1912451,390,,,,,True
anchor_enumeration,286,287,1912451,1915931,3480,,,,,True
anchor_enumeration,287,288,1915931,1917731,1800,,,,,True
anchor_enumeration,288,289,1917731,1925381,7650,,,,,True
anchor_enumeration,289,290,1925381,1943651,18270,,,,,True
anchor_enumeration,290,291,1943651,1954151,10500,,,,,True
anchor_enumeration,291,292,1954151,1954361,210,,,,,True
anchor_enumeration,292,293,1954361,1959311,4950,,,,,True
anchor_enumeration,293,294,1959311,1979141,19830,,,,,True
anchor_enumeration,294,295,1979141,1979891,750,,,,,True
anchor_enumeration,295,296,1979891,2002331,22440,,,,,True
anchor_enumeration,296,297,2002331,2007611,5280,,,,,True
anchor_enumeration,297,298,2007611,2007911,300,,,,,True
anchor_enumeration,298,299,2007911,2016401,8490,,,,,True
anchor_enumeration,299,300,2016401,2020721,4320,,,,,True
anchor_enumeration,300,301,2020721,2050331,29610,,,,,True
anchor_enumeration,301,302,2050331,2062001,11670,,,,,True
anchor_enumeration,302,303,2062001,2063771,1770,,,,,True
anchor_enumeration,303,304,2063771,2065571,1800,,,,,True
anchor_enumeration,304,305,2065571,2075831,10260,,,,,True
anchor_enumeration,305,306,2075831,2079191,3360,,,,,True
anchor_enumeration,306,307,2079191,2083511,4320,,,,,True
anchor_enumeration,307,308,2083511,2084441,930,,,,,True
anchor_enumeration,308,309,2084441,2087381,2940,,,,,True
anchor_enumeration,309,310,2087381,2107661,20280,,,,,True
anchor_enumeration,310,311,2107661,2116571,8910,,,,,True
anchor_enumeration,311,312,2116571,2136131,19560,,,,,True
anchor_enumeration,312,313,2136131,2141801,5670,,,,,True
anchor_enumeration,313,314,2141801,2143481,1680,,,,,True
anchor_enumeration,314,315,2143481,2144501,1020,,,,,True
anchor_enumeration,315,316,2144501,2157731,13230,,,,,True
anchor_enumeration,316,317,2157731,2159231,1500,,,,,True
anchor_enumeration,317,318,2159231,2168651,9420,,,,,True
anchor_enumeration,318,319,2168651,2176631,7980,,,,,True
anchor_enumeration,319,320,2176631,2177501,870,,,,,True
anchor_enumeration,320,321,2177501,2193881,16380,,,,,True
anchor_enumeration,321,322,2193881,2202791,8910,,,,,True
anchor_enumeration,322,323,2202791,2203961,1170,,,,,True
anchor_enumeration,323,324,2203961,2223671,19710,,,,,True
anchor_enumeration,324,325,2223671,2225051,1380,,,,,True
anchor_enumeration,325,326,2225051,2246141,21090,,,,,True
anchor_enumeration,326,327,2246141,2248241,2100,,,,,True
anchor_enumeration,327,328,2248241,2256341,8100,,,,,True
anchor_enumeration,328,329,2256341,2262971,6630,,,,,True
anchor_enumeration,329,330,2262971,2266631,3660,,,,,True
