index,prime_count_scope,v_abcE,p_anchor,A,B,C,E,p1_sorted,p2_sorted,p3_sorted,p4_sorted,channels_sorted,span,gaps_sorted,canonical_primquadruplet,quat_norm,sqrt_norm,pair_gaps,host_E,host_A,host_B,host_C,verify_dumas_lemma,natural_fill_gaps,natural_fill_gap_free,triple_slot_primes,rotor_host,rotor_d_artagnan,rotor_d_artagnan_canonical_formula,rotor_d_artagnan_matches_canonical_formula,rotor_musketiere,rotor_d1,rotor_d2,rotor_gap_pair,rotor_gap_matches_canonical,host_E_component,host_E_musketiere,host_E_d1,host_E_d2,host_E_gap_pair,host_E_gap_matches_canonical,host_A_component,host_A_musketiere,host_A_d1,host_A_d2,host_A_gap_pair,host_A_gap_matches_canonical,host_B_component,host_B_musketiere,host_B_d1,host_B_d2,host_B_gap_pair,host_B_gap_matches_canonical,host_C_component,host_C_musketiere,host_C_d1,host_C_d2,host_C_gap_pair,host_C_gap_matches_canonical
11,200,"(173, 163, 191, 241)",173,173,163,191,241,163,173,191,241,"B,A,C,E",78,"10,18,50",False,151060,388,6408,241,173,163,191,True,,True,"163,173,191,163,191,241,173,191,241,163,173,241",B,163,175,False,"(173, 191, 241)",18,50,"(18, 50)",False,241,"(163, 173, 191)",10,18,"(10, 18)",False,173,"(163, 191, 241)",28,50,"(28, 50)",False,163,"(173, 191, 241)",18,50,"(18, 50)",False,191,"(163, 173, 241)",10,68,"(10, 68)",False
12,200,"(197, 199, 227, 277)",197,197,199,227,277,197,199,227,277,"A,B,C,E",80,"2,28,50",False,206668,454,6984,277,197,199,227,True,,True,"197,199,227,199,227,277,197,227,277,197,199,277",C,227,203,False,"(197, 199, 277)",2,78,"(2, 78)",False,277,"(197, 199, 227)",2,28,"(2, 28)",False,197,"(199, 227, 277)",28,50,"(28, 50)",False,199,"(197, 227, 277)",30,50,"(30, 50)",False,227,"(197, 199, 277)",2,78,"(2, 78)",False
13,200,"(233, 211, 239, 313)",233,233,211,239,313,211,233,239,313,"B,A,C,E",102,"22,6,74",False,253900,503,10440,313,233,211,239,True,,True,"211,233,239,211,239,313,233,239,313,211,233,313",E,313,241,False,"(211, 233, 239)",22,6,"(22, 6)",False,313,"(211, 233, 239)",22,6,"(22, 6)",False,233,"(211, 239, 313)",28,74,"(28, 74)",False,211,"(233, 239, 313)",6,74,"(6, 74)",False,239,"(211, 233, 313)",22,80,"(22, 80)",False
14,200,"(257, 223, 251, 337)",257,257,223,251,337,223,251,257,337,"B,C,A,E",114,"28,6,80",False,292348,540,13032,337,257,223,251,True,,True,"223,251,257,223,251,337,251,257,337,223,257,337",A,257,257,True,"(223, 251, 337)",28,86,"(28, 86)",False,337,"(223, 251, 257)",28,6,"(28, 6)",False,257,"(223, 251, 337)",28,86,"(28, 86)",False,223,"(251, 257, 337)",6,80,"(6, 80)",False,251,"(223, 257, 337)",34,80,"(34, 80)",False
15,200,"(269, 271, 263, 349)",269,269,271,263,349,263,269,271,349,"C,A,B,E",86,"6,2,78",False,336772,580,6120,349,269,271,263,True,,True,"263,269,271,263,271,349,263,269,349,269,271,349",B,271,271,True,"(263, 269, 349)",6,80,"(6, 80)",False,349,"(263, 269, 271)",6,2,"(6, 2)",False,269,"(263, 271, 349)",8,78,"(8, 78)",False,271,"(263, 269, 349)",6,80,"(6, 80)",False,263,"(269, 271, 349)",2,78,"(2, 78)",False
16,200,"(281, 283, 311, 373)",281,281,283,311,373,281,283,311,373,"A,B,C,E",92,"2,28,62",False,394900,628,9000,373,281,283,311,True,,True,"281,283,311,283,311,373,281,311,373,281,283,373",C,311,287,False,"(281, 283, 373)",2,90,"(2, 90)",False,373,"(281, 283, 311)",2,28,"(2, 28)",False,281,"(283, 311, 373)",28,62,"(28, 62)",False,283,"(281, 311, 373)",30,62,"(30, 62)",False,311,"(281, 283, 373)",2,90,"(2, 90)",False
17,200,"(293, 307, 347, 397)",293,293,307,347,397,293,307,347,397,"A,B,C,E",104,"14,40,50",False,458116,676,11016,397,293,307,347,True,,True,"293,307,347,307,347,397,293,347,397,293,307,397",E,397,301,False,"(293, 307, 347)",14,40,"(14, 40)",False,397,"(293, 307, 347)",14,40,"(14, 40)",False,293,"(307, 347, 397)",40,50,"(40, 50)",False,307,"(293, 347, 397)",54,50,"(54, 50)",False,347,"(293, 307, 397)",14,90,"(14, 90)",False
18,200,"(317, 331, 359, 409)",317,317,331,359,409,317,331,359,409,"A,B,C,E",92,"14,28,50",False,506212,711,7848,409,317,331,359,True,,True,"317,331,359,331,359,409,317,359,409,317,331,409",A,317,317,True,"(331, 359, 409)",28,50,"(28, 50)",False,409,"(317, 331, 359)",14,28,"(14, 28)",False,317,"(331, 359, 409)",28,50,"(28, 50)",False,331,"(317, 359, 409)",42,50,"(42, 50)",False,359,"(317, 331, 409)",14,78,"(14, 78)",False
19,200,"(353, 367, 383, 421)",353,353,367,383,421,353,367,383,421,"A,B,C,E",68,"14,16,38",False,583228,763,3816,421,353,367,383,True,,True,"353,367,383,367,383,421,353,383,421,353,367,421",B,367,355,False,"(353, 383, 421)",30,38,"(30, 38)",False,421,"(353, 367, 383)",14,16,"(14, 16)",False,353,"(367, 383, 421)",16,38,"(16, 38)",False,367,"(353, 383, 421)",30,38,"(30, 38)",False,383,"(353, 367, 421)",14,54,"(14, 54)",False
20,200,"(389, 379, 419, 433)",389,389,379,419,433,379,389,419,433,"B,A,C,E",54,"10,30,14",False,658012,811,3816,433,389,379,419,True,,True,"379,389,419,379,419,433,389,419,433,379,389,433",C,419,395,False,"(379, 389, 433)",10,44,"(10, 44)",False,433,"(379, 389, 419)",10,30,"(10, 30)",False,389,"(379, 419, 433)",40,14,"(40, 14)",False,379,"(389, 419, 433)",30,14,"(30, 14)",False,419,"(379, 389, 433)",10,44,"(10, 44)",False
21,200,"(401, 439, 431, 457)",401,401,439,431,457,401,431,439,457,"A,C,B,E",56,"30,8,18",False,748132,864,1224,457,401,439,431,True,,True,"401,431,439,431,439,457,401,431,457,401,439,457",E,457,409,False,"(401, 431, 439)",30,8,"(30, 8)",False,457,"(401, 431, 439)",30,8,"(30, 8)",False,401,"(431, 439, 457)",8,18,"(8, 18)",False,439,"(401, 431, 457)",30,26,"(30, 26)",False,431,"(401, 439, 457)",38,18,"(38, 18)",False
22,200,"(449, 463, 443, 541)",449,449,463,443,541,443,449,463,541,"C,A,B,E",98,"6,14,78",False,904900,951,6120,541,449,463,443,True,,True,"443,449,463,443,463,541,443,449,541,449,463,541",A,449,449,True,"(443, 463, 541)",20,78,"(20, 78)",False,541,"(443, 449, 463)",6,14,"(6, 14)",False,449,"(443, 463, 541)",20,78,"(20, 78)",False,463,"(443, 449, 541)",6,92,"(6, 92)",False,443,"(449, 463, 541)",14,78,"(14, 78)",False
23,200,"(461, 487, 467, 577)",461,461,487,467,577,461,467,487,577,"A,C,B,E",116,"6,20,90",False,1000708,1000,8136,577,461,487,467,True,,True,"461,467,487,467,487,577,461,467,577,461,487,577",B,487,463,False,"(461, 467, 577)",6,110,"(6, 110)",False,577,"(461, 467, 487)",6,20,"(6, 20)",False,461,"(467, 487, 577)",20,90,"(20, 90)",False,487,"(461, 467, 577)",6,110,"(6, 110)",False,467,"(461, 487, 577)",26,90,"(26, 90)",False
24,200,"(509, 499, 479, 601)",509,509,499,479,601,479,499,509,601,"C,B,A,E",122,"20,10,92",False,1098724,1048,11304,601,509,499,479,True,,True,"479,499,509,479,499,601,479,509,601,499,509,601",C,479,515,False,"(499, 509, 601)",10,92,"(10, 92)",False,601,"(479, 499, 509)",20,10,"(20, 10)",False,509,"(479, 499, 601)",20,102,"(20, 102)",False,499,"(479, 509, 601)",30,92,"(30, 92)",False,479,"(499, 509, 601)",10,92,"(10, 92)",False
25,200,"(521, 523, 491, 613)",521,521,523,491,613,491,521,523,613,"C,A,B,E",122,"30,2,90",False,1161820,1077,9000,613,521,523,491,True,,True,"491,521,523,491,523,613,491,521,613,521,523,613",E,613,529,False,"(491, 521, 523)",30,2,"(30, 2)",False,613,"(491, 521, 523)",30,2,"(30, 2)",False,521,"(491, 523, 613)",32,90,"(32, 90)",False,523,"(491, 521, 613)",30,92,"(30, 92)",False,491,"(521, 523, 613)",2,90,"(2, 90)",False
