index,p1,p2,p3,p4,channels,span,gaps,canonical
57,1361,1423,1439,1609,"A,B,C,E",248,"62,16,170",False
58,1373,1447,1451,1621,"A,B,C,E",248,"74,4,170",False
59,1409,1459,1487,1657,"A,B,C,E",248,"50,28,170",False
60,1433,1471,1499,1669,"A,B,C,E",236,"38,28,170",False
61,1481,1483,1511,1693,"A,B,C,E",212,"2,28,182",False
62,1493,1523,1531,1741,"A,C,B,E",248,"30,8,210",False
63,1543,1553,1559,1753,"B,A,C,E",210,"10,6,194",False
64,1567,1571,1601,1777,"B,C,A,E",210,"4,30,176",False
65,1579,1583,1613,1789,"B,C,A,E",210,"4,30,176",False
66,1607,1627,1637,1801,"C,B,A,E",194,"20,10,164",False
67,1619,1663,1697,1861,"C,B,A,E",242,"44,34,164",False
68,1667,1699,1709,1873,"C,B,A,E",206,"32,10,164",False
69,1721,1723,1787,1933,"A,B,C,E",212,"2,64,146",False
70,1733,1747,1811,1993,"A,B,C,E",260,"14,64,182",False
71,1759,1823,1877,2017,"B,C,A,E",258,"64,54,140",False
72,1783,1847,1889,2029,"B,C,A,E",246,"64,42,140",False
73,1831,1871,1901,2053,"B,C,A,E",222,"40,30,152",False
74,1867,1907,1913,2089,"B,C,A,E",222,"40,6,176",False
75,1879,1931,1949,2113,"B,C,A,E",234,"52,18,164",False
76,1951,1973,1979,2137,"B,A,C,E",186,"22,6,158",False
77,1987,1997,2003,2161,"B,A,C,E",174,"10,6,158",False
78,1999,2027,2069,2221,"B,C,A,E",222,"28,42,152",False
79,2011,2039,2081,2269,"B,C,A,E",258,"28,42,188",False
80,2063,2083,2129,2281,"C,B,A,E",218,"20,46,152",False
81,2087,2131,2141,2293,"C,B,A,E",206,"44,10,152",False
82,2099,2143,2153,2341,"C,B,A,E",242,"44,10,188",False
83,2111,2179,2213,2377,"C,B,A,E",266,"68,34,164",False
84,2203,2207,2237,2389,"B,C,A,E",186,"4,30,152",False
85,2239,2243,2273,2437,"B,C,A,E",198,"4,30,164",False
