p,p_plus_2,p_plus_6,p_plus_8,vortex_winding,trivial_winding,phase_closure_ok,ceab_closure_ok,encircles_defect,pop_threshold_steps,rotor_steps,rotor_gap_cycle,status
539501,539503,539507,539509,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
549161,549163,549167,549169,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
559211,559213,559217,559219,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
563411,563413,563417,563419,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
570041,570043,570047,570049,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
572651,572653,572657,572659,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
585911,585913,585917,585919,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
594821,594823,594827,594829,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
597671,597673,597677,597679,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
607301,607303,607307,607309,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
622241,622243,622247,622249,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
626621,626623,626627,626629,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
632081,632083,632087,632089,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
632321,632323,632327,632329,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
633461,633463,633467,633469,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
633791,633793,633797,633799,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
654161,654163,654167,654169,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
657491,657493,657497,657499,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
661091,661093,661097,661099,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
663581,663583,663587,663589,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
664661,664663,664667,664669,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
666431,666433,666437,666439,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
680291,680293,680297,680299,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
681251,681253,681257,681259,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
691721,691723,691727,691729,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
705161,705163,705167,705169,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
715151,715153,715157,715159,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
734471,734473,734477,734479,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
736361,736363,736367,736369,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
739391,739393,739397,739399,1,0,True,True,True,4,4,"(2,4);(4,2);(6,2);(2,6)",B
